Company Code,Month year,Product Group 2 Code,Product Group 3 Code,Product Group 4 Code,Plant Code,Channel Description,FM 01_Invoices Revenue,FM 07_Gross Profit,Product Group 2 Name,Product Group 3 Name,Product Group 4 Name,GL Account Code
1000,Jan 2024,PC,PCS,PCS00,1316,Online,4417255,,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Jan 2024,PC,PCS,PCS00,1316,Retail,10904126,,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Jan 2024,PC,PCS,PCS00,1317,Retail,549000,,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Jan 2024,PC,PCS,PCS00,1318,Online,316268,,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Jan 2024,PC,PCS,PCS00,1318,Online,312600,,LOẠI KHÁC,SERVICE,SERVICE,0051141000
1000,Jan 2024,PC,PCS,PCS00,1318,Retail,1130000,,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Jan 2024,PC,PCS,PCS00,1329,Retail,120000,,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Jan 2024,PC,PCS,PCS00,1330,Retail,2264947,,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Jan 2024,PC,PCS,PCS00,1370,Online,105036,,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Jan 2024,PC,PCS,PCS00,1370,Online,488200,,LOẠI KHÁC,SERVICE,SERVICE,0051141000
1000,Jan 2024,PC,PCS,PCS00,1370,Retail,1360000,,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Jan 2024,PC,PCS,PCS00,1370,Retail,4240909,,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Jan 2024,PC,PCS,PCS00,1373,Online,1190863,,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Jan 2024,PC,PCS,PCS00,1373,Retail,14286098,,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Jan 2024,PC,PCS,PCS00,1373,Retail,2325819,,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Jan 2024,PC,PCS,PCS00,1373,Retail,6613900,1368802,LOẠI KHÁC,SERVICE,SERVICE,0051141000
1000,Jan 2024,PC,PCS,PCS00,1376,Online,260345,,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Jan 2024,PC,PCS,PCS00,1376,Retail,7517905,,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Jan 2024,PC,PCS,PCS00,1401,Online,770973,,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Jan 2024,PC,PCS,PCS00,1401,Retail,6208786,,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Jan 2024,PC,PCS,PCS00,1402,Online,117736,,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Jan 2024,PC,PCS,PCS00,1402,Retail,1995036,,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Jan 2024,PC,PCS,PCS00,1402,Retail,209091,,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Jan 2024,PC,PCS,PCS00,1404,Retail,4154011,,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Jan 2024,PC,PCS,PCS00,1405,Retail,210000,,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Jan 2024,PC,PCS,PCS00,1409,Online,140751,,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Jan 2024,PC,PCS,PCS00,1409,Retail,2654544,,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Jan 2024,PC,PCS,PCS00,1445,Online,2371458,,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Jan 2024,PC,PCS,PCS00,1445,Retail,5832275,,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Jan 2024,PC,PCS,PCS00,1445,Retail,3606861,,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Jan 2024,PC,PCS,PCS00,1447,Online,833935,,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Jan 2024,PC,PCS,PCS00,1447,Retail,9261288,,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Jan 2024,PC,PCS,PCS00,1447,Retail,1343324,,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Jan 2024,PC,PCS,PCS00,1467,Retail,620000,,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Jan 2024,PC,PCS,PCS00,1470,Retail,1260000,,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Jan 2024,PC,PCS,PCS00,1473,Online,845683,,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Jan 2024,PC,PCS,PCS00,1473,Retail,2887460,,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Jan 2024,PC,PCS,PCS00,1473,Retail,234364,,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Jan 2024,PC,PCS,PCS00,1477,Retail,1080000,,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Jan 2024,PC,PCS,PCS00,1489,Online,1507829,,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Jan 2024,PC,PCS,PCS00,1489,Retail,10056510,,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Jan 2024,PC,PCS,PCS00,1489,Retail,792041,,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Jan 2024,PC,PCS,PCS00,1493,Online,466413,,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Jan 2024,PC,PCS,PCS00,1493,Retail,1000000,,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Jan 2024,PC,PCS,PCS00,1493,Retail,6504545,,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Jan 2024,PC,PCS,PCS00,1504,Retail,11244870,,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Jan 2024,PC,PCS,PCS00,1504,Retail,699936,,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Jan 2024,PC,PCS,PCS00,1516,Online,827212,,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Jan 2024,PC,PCS,PCS00,1516,Retail,4487435,,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Jan 2024,PC,PCS,PCS00,1516,Retail,3257017,,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Jan 2024,PC,PCS,PCS00,1517,Retail,1593020,,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Jan 2024,PC,PCS,PCS00,1517,Retail,-1276700,,LOẠI KHÁC,SERVICE,SERVICE,0051141000
1000,Jan 2024,PC,PCS,PCS00,1532,Retail,4497257,,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Jan 2024,PC,PCS,PCS00,1534,Online,153818,,LOẠI KHÁC,SERVICE,SERVICE,0051131001
1000,Jan 2024,PC,PCS,PCS00,1534,Retail,5930000,,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Jan 2024,PC,PCS,PCS00,1539,Retail,4794764,,LOẠI KHÁC,SERVICE,SERVICE,0051131000
1000,Jan 2024,PC,PCS,PCS00,1541,Online,37745,,LOẠI KHÁC,SERVICE,SERVICE,0051131001
